tag_id,asset_id,asset_name,asset_type,area_code,area_name,measure,instrument_type,unit,value_class,sample_hz,nominal,lo_lo,lo,hi,hi_hi,is_mass_balance,is_pdm,enum_values,description
ROM-BIN01-LI01,ROM-BIN01,ROM bin,bin,ROM,ROM & Reclaim,level,LI,pct,analog,1.0,68.0,5.0,20.0,92.0,98.0,False,False,,ROM bin level
ROM-APF01-WI01,ROM-APF01,ROM apron feeder,feeder,ROM,ROM & Reclaim,mass_flow,WI,t/h,analog,1.0,2500.0,0.0,1375.0,2800.0000000000005,3125.0,True,False,,Apron feeder mass flow (plant feed)
ROM-APF01-SI01,ROM-APF01,ROM apron feeder,feeder,ROM,ROM & Reclaim,belt_speed,SI,m/s,analog,1.0,0.22,0.05,0.1,0.3,0.35,False,False,,Apron feeder speed
ROM-APF01-II01,ROM-APF01,ROM apron feeder,feeder,ROM,ROM & Reclaim,motor_current,II,A,analog,1.0,310.0,46.5,170.5,356.5,403.0,False,True,,Motor current
ROM-APF01-ZI01,ROM-APF01,ROM apron feeder,feeder,ROM,ROM & Reclaim,state,ZI,enum,discrete,1.0,1,0,0,1,1,False,False,RUNNING|STOPPED|FAULT,Run status
LAB-ROM01-QI01,LAB-ROM01,ROM feed sampler,sampler,LAB,Laboratory,assay,QI,pct,analog,0.00056,61.2,55.0,58.5,64.0,66.0,False,False,,ROM feed Fe grade (hourly composite)
LAB-ROM01-QI02,LAB-ROM01,ROM feed sampler,sampler,LAB,Laboratory,assay,QI,pct,analog,0.00056,4.1,1.0,2.0,6.5,8.5,False,False,,ROM feed SiO2
LAB-ROM01-QI03,LAB-ROM01,ROM feed sampler,sampler,LAB,Laboratory,assay,QI,pct,analog,0.00056,2.4,0.5,1.0,4.0,5.5,False,False,,ROM feed Al2O3
LAB-ROM01-MI01,LAB-ROM01,ROM feed sampler,sampler,LAB,Laboratory,moisture,MI,pct,analog,1.0,3.8,0.5,1.5,6.5,9.0,False,False,,ROM feed moisture
CRU-PCR01-II01,CRU-PCR01,Primary gyratory crusher,crusher,CRU,Crushing,motor_current,II,A,analog,1.0,1450.0,217.5,797.5000000000001,1667.4999999999998,1885.0,False,True,,Motor current
CRU-PCR01-ZI01,CRU-PCR01,Primary gyratory crusher,crusher,CRU,Crushing,state,ZI,enum,discrete,1.0,1,0,0,1,1,False,False,RUNNING|STOPPED|FAULT,Run status
CRU-PCR01-PI01,CRU-PCR01,Primary gyratory crusher,crusher,CRU,Crushing,pressure,PI,kPa,analog,1.0,9800.0,4900.0,6860.0,11760.0,13230.0,False,False,,Hydraulic / crushing pressure
CRU-PCR01-GI01,CRU-PCR01,Primary gyratory crusher,crusher,CRU,Crushing,gap,GI,mm,analog,1.0,150.0,135.0,142.0,158.0,165.0,False,False,,Closed side setting
CRU-PCR01-RI01,CRU-PCR01,Primary gyratory crusher,crusher,CRU,Crushing,rotational_speed,RI,rpm,analog,1.0,155.0,124.0,142.6,167.4,178.25,False,False,,Eccentric / mantle speed
